City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Baldeogarh,IN,24.755,79.0681,81.46,13,0,3.36,clear sky
229,Sainte-Marie,RE,-20.8968,55.5496,77.0,78,0,3.44,clear sky
230,Sisimiut,GL,66.9395,-53.6735,3.2,68,24,5.73,few clouds
231,Jumla,NP,29.2747,82.1838,45.39,60,27,3.53,scattered clouds
232,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,63,75,9.22,broken clouds
233,Salinas,US,36.6777,-121.6555,75.0,33,1,3.44,clear sky
234,Ukrayinka,UA,47.9167,35.35,41.0,81,0,4.47,clear sky
235,Esna,EG,25.2934,32.554,69.8,26,0,3.44,clear sky
236,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,59,20,11.5,few clouds
237,Quatre Cocos,MU,-20.2078,57.7625,78.01,88,20,4.61,few clouds
238,Bilaspur,IN,22.0833,82.15,76.41,17,0,1.28,clear sky
239,Bilma,NE,18.6853,12.9164,73.94,13,0,8.32,clear sky
240,Pampierstad,ZA,-27.7832,24.6877,68.61,33,3,6.67,clear sky
241,Ivangorod,RU,59.3716,28.2162,34.11,92,56,5.17,broken clouds
242,Jurado,CO,7.1053,-77.7641,83.98,72,98,5.59,light rain
243,Pokhara,NP,28.2333,83.9833,65.98,21,0,7.4,clear sky
244,Bouca,CF,6.5105,18.2733,81.32,47,75,2.84,broken clouds
245,Oktyabrskiy,RU,54.4815,53.471,16.84,97,100,3.51,overcast clouds
246,Abha,SA,18.2164,42.5053,64.4,72,0,0.98,clear sky
247,Laukaa,RU,58.7372,29.8453,34.39,98,89,3.33,overcast clouds
248,Vilani,LV,56.5525,26.9245,36.75,85,57,7.47,broken clouds
249,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,20,8.05,few clouds
250,Marawi,PH,7.9986,124.2928,75.99,91,93,4.0,overcast clouds
251,Honningsvag,NO,70.9821,25.9704,35.6,75,20,11.5,few clouds
252,Buy,RU,58.4786,41.53,19.38,97,9,2.73,clear sky
253,Saint-Augustin,CA,51.226,-58.6502,21.49,69,8,10.04,clear sky
254,Mezen,RU,65.8522,44.24,35.4,94,100,8.08,overcast clouds
255,Namibe,AO,-15.1961,12.1522,73.92,74,42,4.41,light rain
256,Alakurtti,RU,66.9672,30.3491,37.0,91,99,3.76,overcast clouds
257,Atar,MR,20.5169,-13.0499,84.36,18,80,11.65,broken clouds
258,Coruripe,BR,-10.1256,-36.1756,79.99,76,41,9.04,scattered clouds
259,Ostrovnoy,RU,68.0531,39.5131,35.29,98,100,13.49,overcast clouds
260,Sheopur,IN,25.6667,76.7,83.46,13,0,8.68,clear sky
261,Sambava,MG,-14.2667,50.1667,76.86,94,100,5.44,moderate rain
262,Padang,ID,-0.9492,100.3543,75.2,94,75,3.44,broken clouds
263,Olonets,RU,60.9847,32.9698,36.9,97,100,8.23,overcast clouds
264,Aspindza,GE,41.5739,43.2483,21.72,91,94,4.34,overcast clouds
265,Beira,MZ,-19.8436,34.8389,82.4,74,40,16.11,light rain
266,Choya,RU,52.0108,86.5467,34.95,99,100,3.38,overcast clouds
267,Motala,SE,58.5371,15.0365,41.0,93,90,13.8,moderate rain
268,Sokolo,ML,14.7328,-6.1219,91.24,10,0,8.77,clear sky
269,Velyka Pysarivka,UA,50.4259,35.485,40.01,72,18,9.17,few clouds
