City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Colares,PT,2021-03-25 01:09:11,38.7992,-9.4469,54.0,76,64,11.99
88,Qasigiannguit,GL,2021-03-25 01:09:11,68.8193,-51.1922,-4.0,77,90,5.75
89,Siniscola,IT,2021-03-25 01:09:11,40.5719,9.6922,42.8,93,0,4.61
90,Kambove,CD,2021-03-25 01:09:12,-10.8764,26.5969,59.5,98,63,3.51
91,Grand Gaube,MU,2021-03-25 01:06:25,-20.0064,57.6608,77.0,87,24,1.99
92,Karabuk,TR,2021-03-25 01:09:12,41.2049,32.6277,28.44,96,100,2.17
93,Choma,ZM,2021-03-25 01:09:12,-16.8065,26.9531,59.34,96,0,4.21
94,Kintinku,TZ,2021-03-25 01:09:12,-5.8833,35.2333,65.17,90,8,3.51
95,Araouane,ML,2021-03-25 01:07:21,18.9048,-3.5265,70.93,8,9,13.96
96,Naifaru,MV,2021-03-25 01:09:13,5.4444,73.3657,82.06,72,74,2.53
97,Panaba,MX,2021-03-25 01:09:13,21.2833,-88.2667,79.86,67,0,16.78
98,Mahebourg,MU,2021-03-25 01:08:00,-20.4081,57.7,73.4,100,20,4.61
99,Thompson,CA,2021-03-25 01:07:10,55.7435,-97.8558,12.2,48,75,6.91
100,Thomaston,US,2021-03-25 01:09:14,32.8882,-84.3266,68.0,77,90,6.91
101,Kaffrine,SN,2021-03-25 01:09:14,14.1059,-15.5508,84.2,24,0,13.8
102,Santo Estevao,BR,2021-03-25 01:09:15,-12.4303,-39.2514,71.13,84,5,5.14
103,Bengkulu,ID,2021-03-25 01:06:54,-3.8004,102.2655,76.64,77,100,3.31
104,Sao Miguel Do Araguaia,BR,2021-03-25 01:09:15,-13.275,-50.1628,75.96,69,100,3.44
105,Saint-Junien,FR,2021-03-25 01:09:15,45.8833,0.9,43.0,81,20,10.36
106,Upernavik,GL,2021-03-25 01:07:18,72.7868,-56.1549,-24.5,94,65,4.41
107,Jaguaquara,BR,2021-03-25 01:09:16,-13.5306,-39.9708,60.91,96,5,3.44
108,Norrtalje,SE,2021-03-25 01:09:16,59.758,18.705,43.0,75,0,11.5
109,Rawson,AR,2021-03-25 01:06:34,-43.3002,-65.1023,56.14,54,0,10.71
110,Kidal,ML,2021-03-25 01:09:17,18.4411,1.4078,73.08,7,4,14.38
111,Bathsheba,BB,2021-03-25 01:06:26,13.2167,-59.5167,78.8,61,40,16.11
112,Carbonear,CA,2021-03-25 01:09:17,47.7332,-53.2148,35.01,69,75,5.75
113,Ponta Do Sol,PT,2021-03-25 01:07:43,32.6667,-17.1,57.0,68,100,1.01
114,Finnsnes,NO,2021-03-25 01:09:18,69.2296,17.9811,39.2,75,100,20.71
115,Mezen,RU,2021-03-25 01:09:18,65.8522,44.24,34.97,99,100,14.52
116,Laguna,US,2021-03-25 01:07:38,38.421,-121.4238,66.2,20,1,6.91
117,Yarada,IN,2021-03-25 01:09:18,17.65,83.2667,71.6,88,14,2.3
118,Behshahr,IR,2021-03-25 01:09:19,36.6923,53.5526,71.31,40,100,6.24
119,Vardo,NO,2021-03-25 01:07:32,70.3705,31.1107,34.56,78,98,28.7
120,Olinda,BR,2021-03-25 01:09:19,-8.0089,-34.8553,80.6,65,40,9.22
121,Varkaus,FI,2021-03-25 01:09:19,62.3153,27.873,36.0,93,90,6.91
122,Helsinki,FI,2021-03-25 01:09:20,60.1695,24.9355,36.0,100,90,8.05
123,Bousse,BF,2021-03-25 01:09:20,12.6606,-1.8922,82.69,15,100,10.07
124,Luderitz,NA,2021-03-25 01:07:54,-26.6481,15.1594,63.99,85,1,6.2
125,Conde,BR,2021-03-25 01:09:20,-7.2597,-34.9075,75.2,100,90,5.75
126,Kenitra,MA,2021-03-25 01:09:21,34.261,-6.5802,42.8,100,6,1.81
127,Longyearbyen,SJ,2021-03-25 01:06:16,78.2186,15.6401,26.6,74,40,12.66
128,Barzas,RU,2021-03-25 01:09:21,55.7167,86.3167,23.0,86,75,13.42
129,Bilma,NE,2021-03-25 01:08:08,18.6853,12.9164,71.55,10,0,19.44
130,Myszkow,PL,2021-03-25 01:09:21,50.5752,19.3246,39.0,100,100,2.44
131,Sioux Lookout,CA,2021-03-25 01:09:22,50.1001,-91.917,26.6,80,90,8.05
132,Faya,SA,2021-03-25 01:09:22,18.3851,42.4509,60.8,51,0,6.91
133,A Coruna,ES,2021-03-25 01:09:23,43.3713,-8.396,50.0,100,0,4.61
134,Souillac,MU,2021-03-25 01:06:55,-20.5167,57.5167,73.4,100,20,4.61
135,Port Hawkesbury,CA,2021-03-25 01:09:23,45.6169,-61.3485,50.0,76,1,5.75
136,Goderich,CA,2021-03-25 01:09:23,43.7501,-81.7165,62.6,55,8,18.41
137,Bria,CF,2021-03-25 01:09:24,6.5423,21.9863,73.92,67,99,1.61
138,San Pedro,PH,2021-03-25 01:09:24,14.35,121.0167,87.01,58,20,3.44
139,Punta Arenas,CL,2021-03-25 01:07:02,-53.15,-70.9167,46.4,76,75,8.05
140,Clyde River,CA,2021-03-25 01:09:24,70.4692,-68.5914,-14.8,76,40,16.11
141,Hwange,ZW,2021-03-25 01:09:25,-18.3693,26.5019,65.46,94,3,2.75
142,Ilulissat,GL,2021-03-25 01:07:42,69.2167,-51.1,-4.0,77,90,5.75
143,Touros,BR,2021-03-25 01:09:25,-5.1989,-35.4608,78.8,83,75,2.3
144,Talnakh,RU,2021-03-25 01:07:27,69.4865,88.3972,15.53,94,100,10.83
145,Harer,ET,2021-03-25 01:09:26,9.3094,42.1258,57.9,31,0,1.48
146,Hofn,IS,2021-03-25 01:07:09,64.2539,-15.2082,35.73,67,100,6.89
147,San Cristobal,VE,2021-03-25 01:09:26,7.7669,-72.225,80.6,78,40,2.3
148,Chute-Aux-Outardes,CA,2021-03-25 01:09:26,49.1168,-68.399,39.2,65,90,13.8
149,Trincomalee,LK,2021-03-25 01:09:27,8.5711,81.2335,81.55,75,100,8.25
150,Acarau,BR,2021-03-25 01:09:27,-2.8856,-40.12,78.1,85,99,7.25
151,Santiago Del Estero,AR,2021-03-25 01:05:58,-27.7951,-64.2615,80.28,57,100,6.76
152,Rio Claro,BR,2021-03-25 01:09:27,-22.4114,-47.5614,78.01,78,0,3.44
153,Oistins,BB,2021-03-25 01:09:27,13.0667,-59.5333,78.8,61,40,16.11
154,Nampula,MZ,2021-03-25 01:09:28,-15.1165,39.2666,73.4,94,40,6.91
155,La Palma,US,2021-03-25 01:09:28,33.8464,-118.0467,69.8,19,1,9.22
156,Oranjemund,NA,2021-03-25 01:04:43,-28.55,16.4333,63.99,84,0,4.54
157,Aksarka,RU,2021-03-25 01:08:14,66.5606,67.7975,9.59,95,37,10.16
158,Arlit,NE,2021-03-25 01:09:29,18.7369,7.3853,73.15,11,0,10.07
159,Erzurum,TR,2021-03-25 01:09:29,40.0,41.5,33.8,69,40,8.05
160,Aurangabad,IN,2021-03-25 01:09:29,19.8833,75.3333,77.34,23,0,8.61
161,Chuy,UY,2021-03-25 01:09:29,-33.6971,-53.4616,66.18,85,1,7.02
162,Pitimbu,BR,2021-03-25 01:09:30,-7.4706,-34.8086,75.2,100,90,5.75
163,Conakry,GN,2021-03-25 01:08:53,9.538,-13.6773,78.44,68,95,5.66
164,Sainte-Maxime,FR,2021-03-25 01:09:30,43.3,6.6333,44.01,87,0,4.09
165,Saint-Augustin,CA,2021-03-25 01:09:30,51.226,-58.6502,27.88,96,100,4.0
166,Carcassonne,FR,2021-03-25 01:05:01,43.25,2.1667,50.0,71,0,12.66
167,Asekeyevo,RU,2021-03-25 01:09:31,53.5742,52.7972,29.79,90,100,6.91
168,Awjilah,LY,2021-03-25 01:09:31,29.1081,21.2869,56.62,44,96,12.5
169,Pozo Colorado,PY,2021-03-25 01:09:32,-23.4923,-58.7972,79.0,58,2,5.53
170,Parole,US,2021-03-25 01:08:29,38.9796,-76.5305,57.99,100,90,5.75
171,Verkhnyaya Sinyachikha,RU,2021-03-25 01:09:32,57.976,61.6673,24.15,90,12,8.16
172,Kutum,SD,2021-03-25 01:09:32,14.2,24.6667,72.86,19,12,7.99
173,Buchanan,LR,2021-03-25 01:09:32,5.8808,-10.0467,78.17,90,100,2.68
174,Mindszent,HU,2021-03-25 01:09:33,46.5236,20.1904,34.0,67,7,5.37
175,High Rock,BS,2021-03-25 01:09:33,26.6208,-78.2833,73.4,78,10,5.75
176,Aksu,CN,2021-03-25 01:09:33,41.1231,80.2644,49.03,25,100,4.97
177,Abapo,BO,2021-03-25 01:09:34,-18.8333,-63.4667,67.06,83,49,3.04
178,Iskateley,RU,2021-03-25 01:09:34,67.6803,53.1512,30.81,97,100,16.24
179,Maceio,BR,2021-03-25 01:09:04,-9.6658,-35.7353,75.2,94,75,3.44
180,Beloha,MG,2021-03-25 01:07:17,-25.1667,45.05,66.18,91,19,4.41
181,Umm Lajj,SA,2021-03-25 01:07:24,25.0213,37.2685,70.5,39,0,14.83
182,Kuusamo,FI,2021-03-25 01:09:34,65.9667,29.1833,33.8,69,0,18.41
183,Hambantota,LK,2021-03-25 01:09:35,6.1241,81.1185,75.2,100,40,10.56
184,Port-Cartier,CA,2021-03-25 01:09:35,50.0334,-66.8654,37.0,55,100,9.22
185,Buraydah,SA,2021-03-25 01:09:35,26.326,43.975,77.0,38,0,9.22
186,Umm Kaddadah,SD,2021-03-25 01:08:08,13.6017,26.6876,79.16,16,13,7.96
187,Kapuskasing,CA,2021-03-25 01:09:36,49.4169,-82.4331,33.8,93,100,4.61
188,Sao Jose Da Coroa Grande,BR,2021-03-25 01:09:36,-8.8978,-35.1478,78.42,78,8,8.41
189,Ribeira Brava,PT,2021-03-25 01:09:36,32.65,-17.0667,57.0,78,100,3.0
190,Dickson,US,2021-03-25 01:09:36,36.077,-87.3878,66.2,45,1,3.8
191,Nizwa,OM,2021-03-25 01:09:37,22.9333,57.5333,69.28,47,9,1.43
192,Belyy Yar,RU,2021-03-25 01:07:20,53.6039,91.3903,28.4,50,0,13.42
193,Lagoa,PT,2021-03-25 01:09:37,39.05,-27.9833,56.34,66,21,3.29
194,North Adams,US,2021-03-25 01:09:38,42.7009,-73.1087,50.0,87,90,8.05
195,Le Port,RE,2021-03-25 01:09:38,-20.9373,55.2919,77.0,83,20,8.05
196,Cobija,BO,2021-03-25 01:09:38,-11.0267,-68.7692,72.55,98,100,2.08
197,Tiganesti,RO,2021-03-25 01:09:38,43.9,25.3667,36.0,83,79,4.99
198,Codrington,AU,2021-03-25 01:08:01,-38.2667,141.9667,63.64,67,9,17.43
199,Berlevag,NO,2021-03-25 01:06:38,70.8578,29.0864,32.13,83,20,16.42
200,San Luis,AR,2021-03-25 01:09:39,-33.295,-66.3356,66.63,59,39,5.97
201,Mendoza,AR,2021-03-25 01:09:18,-32.8908,-68.8272,75.2,50,75,5.75
202,Fagersta,SE,2021-03-25 01:09:39,60.0042,15.7932,37.99,87,20,11.5
203,Bokoro,TD,2021-03-25 01:07:41,12.3807,17.0568,84.09,18,11,8.7
204,Tshikapa,CD,2021-03-25 01:09:40,-6.4167,20.8,68.52,95,100,2.37
205,Leh,IN,2021-03-25 01:09:40,34.1667,77.5833,21.34,76,97,3.02
206,Ponta Delgada,PT,2021-03-25 01:08:40,37.7333,-25.6667,55.4,71,20,4.61
207,Nogent-Le-Rotrou,FR,2021-03-25 01:09:41,48.3333,1.0,44.01,93,90,3.44
208,Antofagasta,CL,2021-03-25 01:07:21,-23.65,-70.4,62.6,82,0,8.05
209,Hobyo,SO,2021-03-25 01:05:34,5.3505,48.5268,77.38,63,11,12.03
210,Wattegama,LK,2021-03-25 01:09:41,6.7989,81.4808,75.2,100,40,3.62
211,Mbandaka,CD,2021-03-25 01:09:41,0.0487,18.2603,71.38,98,100,5.77
212,Nyimba,ZM,2021-03-25 01:09:42,-14.5566,30.8149,63.19,95,0,3.58
213,Sechura,PE,2021-03-25 01:09:42,-5.5569,-80.8222,76.35,66,100,15.99
214,Iralaya,HN,2021-03-25 01:09:43,15.0,-83.2333,80.6,78,20,11.5
215,Rio Grande,BR,2021-03-25 01:09:43,-32.035,-52.0986,71.01,87,0,11.63
216,Castro,BR,2021-03-25 01:08:04,-24.7911,-50.0119,65.21,88,61,2.8
217,Paita,PE,2021-03-25 01:09:43,-5.0892,-81.1144,73.87,77,100,11.99
218,Odweyne,SO,2021-03-25 01:09:43,9.4092,45.064,66.24,34,6,1.99
219,Zadonsk,RU,2021-03-25 01:09:44,52.3904,38.9261,32.0,69,75,8.95
220,Iracoubo,GF,2021-03-25 01:09:44,5.4802,-53.2011,76.91,85,91,9.6
221,Konakovo,RU,2021-03-25 01:09:44,56.7,36.7667,27.28,97,37,4.38
222,Kolda,SN,2021-03-25 01:09:45,12.8833,-14.95,86.0,42,96,4.61
223,Qaqortoq,GL,2021-03-25 01:09:45,60.7167,-46.0333,15.8,53,75,14.97
224,Bonito,BR,2021-03-25 01:09:02,-21.1211,-56.4819,74.98,63,89,0.54
225,Havelock,US,2021-03-25 01:09:45,34.8791,-76.9013,63.0,100,1,5.75
226,Turayf,SA,2021-03-25 01:09:46,31.6725,38.6637,48.2,71,0,9.22
227,Cayenne,GF,2021-03-25 01:09:46,4.9333,-52.3333,81.0,94,20,2.3
228,Salinopolis,BR,2021-03-25 01:09:46,-0.6136,-47.3561,76.71,90,100,8.28
229,Taltal,CL,2021-03-25 01:09:46,-25.4,-70.4833,67.42,78,6,4.16
230,Agadez,NE,2021-03-25 01:09:47,19.75,10.25,65.79,14,0,12.24
231,Nefteyugansk,RU,2021-03-25 01:09:47,61.0998,72.6035,23.0,100,75,4.47
232,Trinidad,BO,2021-03-25 01:08:27,-14.8333,-64.9,73.83,96,84,3.44
233,Sakakah,SA,2021-03-25 01:09:07,29.9697,40.2064,60.8,20,0,12.66
234,Rocha,UY,2021-03-25 01:09:48,-34.4833,-54.3333,61.9,90,2,6.08
235,Hammerfest,NO,2021-03-25 01:08:11,70.6634,23.6821,33.8,93,75,9.22
236,Brigantine,US,2021-03-25 01:09:48,39.4101,-74.3646,59.0,94,90,3.44
237,Bull Savanna,JM,2021-03-25 01:09:48,17.8868,-77.5902,74.59,81,13,9.75
238,Rio Gallegos,AR,2021-03-25 01:07:36,-51.6226,-69.2181,46.4,61,0,16.11
239,Yar-Sale,RU,2021-03-25 01:09:49,66.8333,70.8333,9.63,95,38,11.41
240,Pontypridd,GB,2021-03-25 01:09:49,51.6021,-3.3421,43.0,92,22,5.01
241,Camacupa,AO,2021-03-25 01:09:49,-12.0167,17.4833,61.21,97,99,3.04
242,Pauini,BR,2021-03-25 01:09:50,-7.7136,-66.9764,72.68,98,94,2.64
243,Orlat,RO,2021-03-25 01:09:50,45.75,23.9667,28.4,74,0,9.22
244,Wellington,NZ,2021-03-25 01:06:28,-41.2866,174.7756,68.0,68,90,6.91
245,Sembe,CG,2021-03-25 01:09:50,1.6481,14.5806,70.68,98,100,4.79
246,Skibbereen,IE,2021-03-25 01:07:54,51.55,-9.2667,41.0,93,40,8.05
247,Santa Isabel Do Rio Negro,BR,2021-03-25 01:09:51,-0.4139,-65.0192,73.31,94,100,2.77
248,Tabuk,PH,2021-03-25 01:09:51,17.4189,121.4443,78.49,76,3,3.71
249,Ndioum,SN,2021-03-25 01:09:51,16.5129,-14.6471,84.2,34,0,2.3
250,Doune,GB,2021-03-25 01:09:51,56.1899,-4.0529,44.01,83,100,3.0
251,Kilembe,UG,2021-03-25 01:09:52,0.2,30.0,64.94,63,100,3.94
252,Ancud,CL,2021-03-25 01:08:56,-41.8697,-73.8203,53.01,81,0,6.91
253,Adrar,MR,2021-03-25 01:09:52,20.5022,-10.0711,70.88,11,0,11.99
254,Sao Joao Da Barra,BR,2021-03-25 01:07:17,-21.6403,-41.0511,76.41,88,3,3.83
255,Darovskoy,RU,2021-03-25 01:09:52,58.77,47.9564,33.53,95,100,8.84
256,Sept-Iles,CA,2021-03-25 01:09:53,50.2001,-66.3821,37.4,55,100,9.22
257,Ostersund,SE,2021-03-25 01:09:53,63.1792,14.6357,35.6,60,100,4.61
258,Little Current,CA,2021-03-25 01:09:53,45.9793,-81.9248,48.99,87,78,3.44
259,Saint-Orens-De-Gameville,FR,2021-03-25 01:09:53,43.554,1.5341,48.2,87,75,12.66
260,Bindura,ZW,2021-03-25 01:09:54,-17.3019,31.3306,61.0,93,14,1.01
261,Jumla,NP,2021-03-25 01:08:23,29.2747,82.1838,33.62,68,0,5.86
262,Abu Dhabi,AE,2021-03-25 01:05:48,24.4667,54.3667,77.0,68,0,2.3
263,Novaya Ladoga,RU,2021-03-25 01:09:54,60.1025,32.3019,36.0,46,100,10.76
264,Santarem,BR,2021-03-25 01:09:54,-2.4431,-54.7083,77.0,94,75,5.75
265,Samarkand,UZ,2021-03-25 01:09:55,39.6542,66.9597,64.4,27,100,11.5
266,Abha,SA,2021-03-25 01:09:55,18.2164,42.5053,60.8,51,0,6.91
267,Altamira,BR,2021-03-25 01:09:55,-3.2033,-52.2064,71.91,98,100,4.29
